Slang,Arti
ttg,tentang
transferable,mudah berpindah
I love thiisss,saya suka ini
dupe,duplikat
foundie,alas bedak
kbeauty,produk kecantikan korea
melting,mudah meleleh
buildable,bisa dibangun
break out,reaksi kulit karena tidak cocok dengan zat aktif pada produk
cakey,terlalu tebal 
so blandable,sangat mudah dicampur 
holy grail,produk yang selalu digunakan di rutinitas kecantikan
very matchy,sangat serasi 
ngejreng,mencolok
semeriwing,segar
rogoh kocek,keluar biaya 
demen,suka
nge'hug',rapat
sepigmented,berpigmen
gitu,begitu
ketarik,terasa ditarik
pede,percaya diri
kapow banget,sangat bagus
gak norak,tidak norak
risi,risih
dimix,dicampur
ilang,hilang
cetar membahana,lebih dari istimewa
mahal bingit ,sangat mahal
kece,keren
pas nyoba ,saat mencoba
nyeplak,membekas
bruntusan,bintik halus pada kulit
cumuk ,cuci muka
amazing parah,sangat menarik
top cer deh,bagus 
ngecilin,mengecilkan
pengen nyoba,ingin mencoba
dicombine,dikombinasikan
kinclong,bersinar
murce mursida,murah
nampol,pas
afdol,lebih baik
gampang bgt,sangat mudah
agak gmn gt,agak gimana gitu
ribet,rumit
plg cocok sm,paling cocok sama
nyerep,menyerap
memang bagus pake banget,sangat bagus
ga kayak pake topeng,tidak seperti pakai topeng
works banget,sangat berguna
ga buat kyk badut,tidak berlebihan seperti badut 
sukak banget,suka sekali 
agak seret,agak tersendat
murah bngt,sangat murah
ngeblend,tercampur
ngfans banget,sangat menyukai 
lagi hits banget,sedang sangat naik daun
cakep,bagus
encer,cair
enak banget ni,sangat enak ini
smooth banget,sangat halus
rasanya clekit-clekit,rasanya menyakitkan
mehong,mahal
rontok ngelotok,mengelupas
betah banget,sangat betah
nyerah banget,sangat mencerahkan
kecium banget,sangat tercium
nggak ribet pakenya,tidak rumit saat dipakai
buanyaaaaakkk,banyak
takuut,takut
tapiiii,tapi
bangeett,banget
puass,puas
sukaaaaaaa,suka
bangeeett,banget
gawaatt,gawat
liipsticknya,pewarna bibirnya
bgtt,banget
keren boookk,sangat keren
aweeet bangett,sangat awet
ciaaaooo bellaaaa,cantik
mauuuu,mau
daaaaan,dan
badayyy,badai
bersiiiih,bersih
semuaaa,semua
enaak,enak
lembuuut,lembut
bersih sih sih sih,sangat bersih
gilaa,gila
nyarinyaaaa,mencarinya
penyelamatnyaaa,penyelamatnya
lagiiiii,lagi
super kereen,sangat keren
bagusssss,bagus
wahhhhhhhhhhhhhhhhhhhhhhhhhh,wah
paliiiing tidak,paling tidak
sedikiiiitt lebih jinak,sedikit lebih jinak
woww,wow
sukaaakkk,suka
haluuuussss bgt,halus banget
banyaaaaakkkk syekalee,banyak sekali
segeeeer,segar
softttt,lembut
loooove,cinta
enaaak banget,enak banget
ga ,tidak
okeh,oke
baguuus,bagus
tp,tetapi
imo ya..,menurut pendapat saya ya
skrng,sekarang
liptick,pewarna bibir
ngelopek,mengelupas
yg,yang
dead matte,sangat alami tetapi bebas kilap dan seperti menempel di wajah
satin finished,hasil akhir yang tidak terlalu kering atau tidak terlalu mengkilap
semi matte,terlihat alami tetapi tidak tampak kering
touch up ,memperbaiki riasan wajah
easy to apply ,mudah diaplikasikan
lebih shiny sedikit,lebih berkilau sedikit
shadenya,pilihan warnanya
long lasting,tahan lama
gak ada,tidak ada
very slightly,sangat sedikit
kering banget,sangat kering
creamy,lembut
pigmented,berpigmen
swipe,usapan
staying powernya,daya tahannya
packaging,kemasan
undertone,warna dasar kulit yang ditentukan oleh gen dan tidak berubah
