Slang,Arti
ttg,tentang
transferable,mudah berpindah
I love thiisss,saya suka ini
melting,mudah meleleh
very matchy,sangat serasi 
ngejreng,mencolok
semeriwing,segar
rogoh kocek,keluar biaya 
demen,suka
nge'hug',rapat
gitu,begitu
ketarik,terasa ditarik
pede,percaya diri
kapow banget,sangat bagus
gak norak,tidak norak
risi,risih
dimix,dicampur
ilang,hilang
cetar membahana,lebih dari istimewa
mahal bingit ,sangat mahal
kece,keren
pas nyoba ,saat mencoba
nyeplak,membekas
amazing parah,sangat menarik
top cer deh,bagus 
ngecilin,mengecilkan
pengen nyoba,ingin mencoba
dicombine,dikombinasikan
kinclong,bersinar
murce mursida,murah
nampol,pas
afdol,lebih baik
gampang bgt,sangat mudah
agak gmn gt,agak gimana gitu
ribet,rumit
plg cocok sm,paling cocok sama
nyerep,menyerap
memang bagus pake banget,sangat bagus
works banget,sangat berguna
sukak banget,suka sekali 
agak seret,agak tersendat
murah bngt,sangat murah
ngfans banget,sangat menyukai 
lagi hits banget,sedang sangat naik daun
cakep,bagus
encer,cair
enak banget ni,sangat enak ini
smooth banget,sangat halus
rasanya clekit-clekit,rasanya menyakitkan
mehong,mahal
rontok ngelotok,mengelupas
betah banget,sangat betah
nyerah banget,sangat mencerahkan
kecium banget,sangat tercium
nggak ribet pakenya,tidak rumit saat dipakai
buanyaaaaakkk,banyak
takuut,takut
tapiiii,tapi
bangeett,banget
puass,puas
sukaaaaaaa,suka
bangeeett,banget
gawaatt,gawat
bgtt,banget
keren boookk,sangat keren
aweeet bangett,sangat awet
ciaaaooo bellaaaa,cantik
mauuuu,mau
daaaaan,dan
badayyy,badai
bersiiiih,bersih
semuaaa,semua
enaak,enak
lembuuut,lembut
bersih sih sih sih,sangat bersih
gilaa,gila
nyarinyaaaa,mencarinya
penyelamatnyaaa,penyelamatnya
lagiiiii,lagi
super kereen,sangat keren
bagusssss,bagus
wahhhhhhhhhhhhhhhhhhhhhhhhhh,wah
paliiiing tidak,paling tidak
sedikiiiitt lebih jinak,sedikit lebih jinak
woww,wow
sukaaakkk,suka
haluuuussss bgt,halus banget
banyaaaaakkkk syekalee,banyak sekali
segeeeer,segar
softttt,lembut
loooove,cinta
enaaak banget,enak banget
ga ,tidak
okeh,oke
baguuus,bagus
tp,tetapi
imo ya..,menurut pendapatku ya
skrng,sekarang
ngelopek,mengelupas
yg,yang
lebih shiny sedikit,lebih berkilau sedikit
long lasting,tahan lama
gak ada,tidak ada
very slightly,sangat sedikit
kering banget,sangat kering
packaging,kemasan
imo,menurut pendapat saya
dipake,dipakai
ke-3,ketiga
2x,dua kali
sedikit lebih bulky,sedikit lebih tebal
lebih cheap,lebih murah
gw,saya
tapii..,tapi
i really love it,saya sangat menyukainya
breakfast,sarapan
bangt,banget
ga,tidak
next time! ,lain waktu
bener2,benar
jd,jadi
dalam2,dalam
gt,gitu
sie,sih
demen,suka
like it!,suka itu
looks luxurious,terlihat mewah
abis,habis
pake,pakai
dua2nya,dua-duanya
iniii,ini
rumah..,rumah
emg,memang
loose ,longgar
stay,tahan
daily wear,pemakaian sehari-hari
sahajaa,saja
gak ,tidak
love,cinta
hate,benci
bold!,mencolok
very slightly,sangat sedikit
with ,dengan
claim ,klaim
pekejing,kemasan
kalu,kalau
kaan,kan
the color,warna
the texture,tekstur
and,dan
akhirnyaaa,akhirnya
glides easily,meluncur dengan mudahnya
long wearing,lama dipakai
will definitely buy the others!,akan selalu membeli jenis lainnya
gt,begitu
glide on,meluncur
