Slang,Arti
dupe,duplikat
foundie,alas bedak
kbeauty,produk kecantikan korea
buildable,bisa dibangun
break out,reaksi kulit karena tidak cocok dengan zat aktif pada produk
cakey,terlalu tebal 
so blandable,sangat mudah dicampur 
holy grail,produk yang selalu digunakan di rutinitas kecantikan
sepigmented,berpigmen
bruntusan,bintik halus pada kulit
cumuk ,cuci muka
ga kayak pake topeng,tidak seperti pakai topeng
ga buat kyk badut,tidak berlebihan seperti badut 
ngeblend,tercampur
liptick,pewarna bibir
dead matte,sangat alami tetapi bebas kilap dan seperti menempel di wajah
satin finished,hasil akhir yang tidak terlalu kering atau tidak terlalu mengkilap
semi matte,terlihat alami tetapi tidak tampak kering
touch up ,memperbaiki riasan wajah
easy to apply ,mudah diaplikasikan
shadenya,pilihan warnanya
pigmented,berpigmen
staying powernya,daya tahannya
undertone,warna dasar kulit yang ditentukan oleh gen dan tidak berubah
creamy,lembut
swipe,usapan
texturenya,teksturnya
minty flavoured,rasa minty
moist,lembab
stain,noda
a hint of orange,sedikit oranye
se orange,terlihat oranye
tend to glowy,terlihat berkilau
pinkish nude,merah muda yang senada dengan warna alami kulit
merah pink undertone,merah ke merah muda yang sesuai dengan warna dasar kulit
before apply..,sebelum diaplikasikan
pigmentted,berpigmen
lipstick....,pewarna bibir
opaque,buram
staying power,daya tahan
shade,pilihan warna
bright red colors,warna merah cerah
nude,warna yang sesuai dengan warna alami kulit
easy to glide on my lips,mudah meluncur di bibirku
it's one of my most fave lipstick,itu adalah salah satu pewarna bibir favorit saya
fucshia to purple,merah keunguan ke ungu
tend to glowy,terlihat berkilau
my current favorite lipstick,pewarna bibir favorit saya saat ini
the color just brigthens up my face,warnanya mencerahkan wajahku
i've always love bright lipstick,saya selalu suka dengan pewarna bibir warna terang
a swipe is all you need,hanya butuh sekali usapan
matte leans satin,alami tanpa kilap tetapi condong tidak terlalu kering 
nude pinkish tone,warna kemerahan yang senada dengan warna kulit
vanilla scentnya,aroma vanillanya
color payoff,hasil warna
my lips but better,lipstik dengan warna yang mendekati warna dasar bibir
muted pink,warna merah muda yang mendekati warna abu-abu
glossy,mengkilap
bronze orange,oranye perunggu
violet pink,merah muda keunguan
dusty pink,merah muda yang pucat
makeup,riasan
smoky eyes,riasan mata yang lebih menonjolkan penggunaan warna gelap
hint of orangenya,sedikit oranyenya
extra moisture,kelembapan ekstra
lisptik,pewarna bibir
vit . ,vitamin
my daily lipstick,pewarna bibir yang saya gunakan sehari-hari
i love matte,saya suka warna alami tanpa kilap
one of oriflame best lipstick.... ,salah satu lipstik terbaik oriflame
series studio artist,seri studio artist
matte finish,hasil akhir dengan warna yang alami dan bebas kilap
se-opaque,seburam
stain-nya,nodanya
blendiing so well,tercampur dengan baik
love this borneo series lipstik,cinta sama pewarna bibir borneo seri ini
longlasting,tahan lama
great colour pay off,hasil warna yang bagus
semi-matte,terlihat alami tetapi tidak tampak kering
long-lasting,tahan lama
skintone-nya ,warna kulitnya
hg,produk yang selalu digunakan di rutinitas kecantikan
red tomato-ish,semerah tomat
shimmernya,kilau yang halus tapi semu
finishingnya,hasil akhirnya
pinkynaturel,merah muda yang alami
streaky,terlihat bergaris karena ada jejak kuas dan belum terbaur sempurna
