review_text,review_rating
"ole flamingo shade kesukaanku! pink fuchsia dengan warm undertone, mirip sama nars matte lipstick carthage. cocok dipakai dengan barely there makeup untuk bibir yang memikat tapi gak berlebihan. pas untuk summer, warnanya cerah tapi tidak loud, bisa tetep pede pakenya walau siang hari. untuk ketahanannya lumayan lama, 6-8 jam tanpa makan berat. di bibir juga ringan dan gak mengeringkan atau terasa dead-matte.",5
"body lotion ber-spf pertamaku dulu, hehe. pake ini kulitku tetep gosong sih, karena aktivitas outdoor lumayan banyak, tapi kalo jarang&#34; kena matahari dia lumayan kok, bikin cerah. cuma kalo pake ini kok berasa kulitku sumuk ya? teksturnya thick banget, dan dia ga nyerap di kulit, kena air dikit langsung licin. cuma pake 2-3 botol, abis itu pindah ke merek lain.update:sekarang udah upgrade anti pollutant apalah gitu kan ya? dan cucok banget, jauh lebih baik dari pendahulunya, cepat meresap, adem nyessss, ga lengket, lumayan ngelindungi kulit kalo lagi panasan, top deh!",5
gw sk-2 addict dan gw dikenalkan produk kiehl's ini dari adek gw yang udah cobain sebelumnya kalo ini serum ngefek banget buat memudarkan dengan cepat bekas jerawat.&nbsp; gara2 cintanya sama ni produk bkin gw gak mau ganti serum ke lain (maap rangkaian sk-2 lain masih gw pake hanya ini serum aja yg nyeleweng sendiri ke khiel's) beneran ngefek banget buat memudarkan jerawat di wajah gw sendiri sekitar 2 minggu bekas juga bakal memudar bahkan ilang gitu.&nbsp;,5
"pertamanya sih aneh pas diolesin di bibir. kayak butiran gula. aku lebih suka pakenya malam. kalo pas lagi kering banget, dan ngelupas dikit, aku biarkan. paginya ngelupas sendiri. lebih baik kalo kita punya bibir kering dan suka mengelupas, perawatannya malam hari. karna pelembabnya maksimal 8 jam nempel di bibir. kalo dipake tiap hari, pasti kelihatan hasilnya. bibir jadi lembut nggak mudah mengelupas.",5
"salah satu facial wash favorit aku. aku pakai lumayan lama. paling enak, nggak bikin jerawatan, nyaman di kulit, dan wanginya seger. sayang buat ngilangin jerawatku yang bandelnya ampun-ampunan nggak terlalu sukses sih.",5
"i have this one in sandalwood beige dan love that red. both are creme.  if i want to wear nude lips, i always use the sandalwood beige. warnanya coklat dengan hint orange. i love it! nggak bikin washed out dan keliatan fresh dengan hint orange-nya itu. di bibir aku kalo udah agak memudar, warnanya bisa jadi agak coral. cantiiiik. plus, shade ini bisa cover bibir aku yang pigmented.  nah kalo mau pake lippen merah, love that red is the one that you should fall in love with. warnanya bright red yang cenderung netral, nggak terlalu cool tone. kadang aku pake di dab aja untuk look yang lebih soft.  overall, lipstik ini nggak bikin kering, harganya murah, gampang ditemuin. pilihan warnanya juga banyakkk banget. recommended!",5
"ini lipbalm favorite aku kalo untuk dandan sebelum pake lipstik, karena dia lumayan moisturizing tapi ga terlalu minyakan. kalo untuk bener-bener moisturize aku ga pake ini hehe tapi enaknya pake ini sebelum pake lipstik karena itu dia ga terlalu minyakan cukup di blot sekali pake tissue, tetep lumayan hydrating bikin bibir smooth dan bisa langsung apply lipstik",5
"i couldn't resist. packagingnya super cute dan aku merasa harus wajib purchase. ternyata hasilnya gak mengecewakan. cocok banget pakai cushion ini dan gak bikin kulit wajah makin berminyak meskipun diclaim hasilnya matte tapi masih kelihatan dewy. cuma packagingnya saja yang kurang ok, begitu dipegang it feels cheap tapi untuk kualitas produk termasuk ok banget. sudah mengandung spf 50 dan moisturizer. pokoknya praktis banget. untuk repurchase mungkin iya cari refill nya saja, tapi masih mau coba cushion lainnya juga.&nbsp;",5
"hai, hai setelah sekian lama nyari toner yang cocok untuk kulit ku, akhirnya aku menemukan yang pas dan cocok untuk kulit ku, yang berminyak dan sangat mudah berjerawat. menurutku toner clean and clear ini sangat cocok untuk kulitku, dan pastinya akan menjadi toner favoritku dan terlebih harganya yang bersahabat, menurutku toner ini mengangkat kotoran di wajah atas sisa make up dengan sangat sempurna dan tidak membuat kulitku menjadi kering, kecuali untuk makeup water proof. terlebih kemasannya sekarang yang flip top jadi travel friendly deh, recomend banget buat produk ini.",5
"pelembab favorit saat ini  untuk malam hari sebelum tidur. dari 4 varian ini yang paling aku suka (dan karena warna pink :p) wanginya manis kayak permen sugus. walau beberapa org berpendapat kurang higienis, aku malah suka yang colek-colek gini karena bisa langsung totol banyak-banyak buat dibawa tidur. efeknya bener ngelembapin.",5
