,review_text,review_rating
0,ole flamingo pilihan warna kesukaanku pink fuchsia warm warna dasar kulit yang ditentukan oleh gen dan tidak berubah mirip sama nars matte lipstick carthage cocok dipakai barely there riasan bibir memikat gak berlebihan pas summer warnanya cerah loud tetep percaya diri pakenya siang hari ketahanannya lumayan lama - jam makan berat bibir ringan gak mengeringkan terasa dead-matte,5
2,saya sk- addict saya dikenalkan produk kiehls adek saya udah cobain sebelumnya kalau serum berdampak banget buat memudarkan cepat bekas jerawat gara cintanya sama ni produk bkin saya gak mau ganti serum maap rangkaian sk- saya pakai serum aja yang nyeleweng sendiri khiels beneran berdampak banget buat memudarkan jerawat wajah saya sendiri minggu bekas bakal memudar bahkan hilang begitu,5
3,pertamanya sih aneh pas diolesin bibir kayak butiran gula aku lebih suka pakenya malam kalau pas kering banget ngelupas dikit aku biarkan paginya ngelupas sendiri lebih baik kalau punya bibir kering suka mengelupas perawatannya malam hari karna pelembabnya maksimal jam nempel bibir kalau dipakai tiap hari kelihatan hasilnya bibir jadi lembut mudah mengelupas,5
7,i couldnt resist packagingnya super cute aku merasa wajib purchase ternyata hasilnya gak mengecewakan cocok banget pakai cushion gak buat kulit wajah makin berminyak meskipun diclaim hasilnya matte kelihatan dewy cuma packagingnya kurang dipegang it feels cheap kualitas produk termasuk banget mengandung spf moisturizer pokoknya praktis banget repurchase mungkin iya cari refill nya mau coba cushion lainnya,5
8,hai hai sekian lama nyari toner cocok kulit ku akhirnya aku menemukan pas cocok kulit ku berminyak sangat mudah berjerawat menurutku toner clean dan clear sangat cocok kulitku pastinya menjadi toner favoritku terlebih harganya bersahabat menurutku toner mengangkat kotoran wajah atas sisa make up sangat sempurna membuat kulitku menjadi kering riasan water proof terlebih kemasannya sekarang flip top jadi travel friendly deh recomend banget buat produk,5
10,lipstick mauve kylie jenner pertama aku pas liat review nya bagus sering sold outlangsung ambilpas dipakai ternyata suka banget sama warna nya rosy mauve gelap dibandingkan sama nyx natural tea rosetrus jadi suka sama warna sejenis mulai lah serching lipstick nya aku suka hasil matte nyapraktis bawagampang pakedan tidak mudah patah over all suka sama lipstick,5
11,banyak tanya ngapain beli sponge mahal menghasilkan riasan yang flawless dan its work butuh sedikit berlatih tangan terbiasa conturing jadi perfect spoge buat riasan junki emang wajib bget beli,5
12,bagus bangetttt bentuknya powder pakai pakai bb biasanya tidak buat muka keliatan pakai topeng tetap manfaat sunscreen nya spf nya tinggi daya tahan nya buat tambah jatuh cinta cinta,5
14,membaca sedikit review temen-temen aku mau pengalamanku bb skrg yang jadi bb fav aku fyi kulit aku dry kalau pakai cream coverage-nya keren semua tekstur kasar muka tuh hilang bahkan tidak pakai bedak jg ud sayangnya hasil akhirnya ngak matte walaupun tidak lengket dan terlalu tebal  ngak matte aja begitu kadang suka memperbaiki kembali bedak tipis ngak mengkilap,5
15,suka banget sama masker buat dijadiin spot treatment baru pakai seminggu bekas jerawat udah lumayan pudar jerawat lebih cepet kering buat hidung komedo udah lumayan banget berkurangnya walaupun tidak ngilangin bekas kemerahan sih tetapi paling tidak tidak buat jerawat jadi parah d,5
18,produk multi fungsi intinya melembabkan menggunakan produk lip treatment terbaik bibir termasuk sensitif banyak lip balm coba banyak membantu malah entah buat tambah kering bibir sejak menemukan pure shea butter selalu pakai tiap pagi malam tidur hasilnya bibir jarang sekali kering kalau ketemu lipstick benar-benar buat kering bahkan pergi negara sedang musim dingin produk bekerja sangat baik aplikasikan lebh sering packaging-nya kecil praktis sangat memudahkan dibawa lebih sering pakai rumah pas traveling kecil produk dipakai cukup lama kira-kira - bulan jadi value for money,5
20,sunscreen aku suka bangetcepat nyerapga buat muka jadi kilang minyakdibagian kulit kering melembabkansaat diaplikasikan kembali buat adem gak keliatan numpukkalo foto pakai flash aku ngerasa buat muka aku tidak keliatan putih bangetaku suka banget kalau sunscreen aku campur sedikit alas bedak jadi teksturnya mirip tinted moisturized buat makeupku jadi tahan lama uh luv banget sama sunscreen,5
22,beli pas clearance sale guardian begitu jadi rb an tidak langsung mikir panjang beli aja gede soalnya enak banget dipakai walaupun butiran scrub nya gede tidak buat pedih gimana begitu baunya lucu wkwk kusuka pokoknya sayang sekarang guardian udah discountinued begitu jadinya beli online cukup mahal jadi ribu an,5
23,bbrp kali lihat br putusin untk beli ternyata harganya cukup murah dilihat dr quantity yang jar full padet sama bubuk clay nya gada bau aneh dr masker memang ribet pakainya sebagian orang karena mix dgn air tetapi hasil dr clay mask cukup bagus no funny weird feeling gak clekit gatel ataupun burn sensation masker apply hasilnya pori wajah lebih bersih jrwt lebih cepat mateng pop by it self lalu kering yang sesali kemasannya gada plastik pemisah jadi buka tutup jar nya serbuk clay bertebaran,5
24,nice pinky white swirls kemasan actually has bubblegum smell although at first im afraid terlalu wangik santen xp beneran ekspres kilat banget buat bibir alus lembut tutupnya gak gap jadi bersih aman gak kotor nempel repurchase worth to haveee,5
25,hands down to the best warna yang sesuai dengan warna alami kulit lipstick for me semenjak punya kalau mau coba lipstick warna yang sesuai dengan warna alami kulit bandingin warnanya sama mulu velvet teddy nih warna yang sesuai dengan warna alami kulit beige hint rosy colour warm warna dasar kulit yang ditentukan oleh gen dan tidak berubah walaupun matte warna yang sesuai dengan warna alami kulit velvet teddy cukup buram lembut bibir gak crumble recomended banget buat pingin mencoba warna yang sesuai dengan warna alami kulit lipstick,5
27,finally sangat bersyukur dipertemukan gizi facial foam kulit wajah berasa lembab lembut gizi facial foam terbuat bahan herbal bebas deterjen thats why aku jadi sukaak banget sama gizi facial foam,5
28,recommended banget buat yang punya acne prone skin aku udah pakai produk selama bulan dan super impressed rumit pakenya karena udh bentuk pad travel friendly karena g perlu bawa kapas pas pertama kali pakai sempet skeptis soalnya udh nyobain banyak produk bintik halus pada kulit tetep disitu bahkan lebih banyak bulan pertama merah mulai berkurang walaupun bruntusannya masi bulan pakai alhamdulillah mulai lumayan mulus walaupun bekas masi disana sini produk ngilangin bekas sih alhamdulillah semua bintik halus pada kulit hilang buat muka kering sekarang sampe stock up dirumah karena takut kehabisan cinta this product so much,5
30,bagus harum pulaaa aku suka duh memang membuat kulit kamu lembab pagi hari setalh malamnya kamu apply aku sih suka hasilnya memang mahal brand menurutku sepadan hasil nya,5
