review_text,review_rating
"penasaran ama iklannya &amp; review org"" yg katanya benefitnya lgs kerasa dlm wkt pemakaian 3 hari aja.. jdnya cobain lancome genifique ini.. karna usia udh 30an ke atas gw coba lancome ini.. enak bgt.. cepat meresap.. di kulit jg terasa ringan.. karna ini booster jd ku combine ama serum advance night repairnya estee lauder.. kl kata gw.. 2 produk ini must have bgt buat usia di atas 30an.. menjaga kulit dr keriput"" sekaligus memperbaiki kulit.. recomended banget.. bakal continue deh ama 2 produk ini.. puas bgt????????????",5
"kandungan olivenya bagus banget di kulit, pakai ini udah lama banget mulai dari kemasan lama sampai kemasan baru, keep loyal makenya, ga bakal nyesel deh, kotoran\\\\/debu\\\\/ semua, kulit jadi halus dan kenyal, dari semua scrub body shop, saya paling cocok dengan yang ini, karena untuk iklim tropis tidak meninggalkan residu yang menyebabkan kulit terlalu lembab  tips: kalau kamu tinggal di daerah dingin lebih cocok pakai yang kadar kelembabanya lebih tinggi misalnya mango\\\\/shea iklim cenderung panas lebih cocok pakai olive, moringa, passion fruit, atau strawberry (pengalaman pribadi)  biar lebih efektif, setelah digosokkan di bagian tertentu biarkan sebentar (jangan terlalu lama) lalu gosok, cara ini sangat2 efektif agar semua kotoran tergulung dari kulit kamu. rasakan sendiri hasilnya :)",5
"love this! beneran bantu nipisin spot kaya missal nya beaks jerawat.. muka cerah, ga berminyak dan ga bikin breakout sayangnya meski botolnya cakep tapi kita ga bisa lihat isi nya tinggal seberapa... ga kelihatan..",5
"udah jatuh cinta bgt sama sebamed yg ini, sebelumnya aku pake yg cleansing bar sebulan, tapi nggak terlalu ngaruh walau emang berkurang sih pertumbuhan jerawatnya. nah karna udah parah jerawatku, akhirnya aku cobain yg foam ini. awal pemakaian emang purdging sih 2-3minggu, malah bisa sampe sebulan. tapi sebulan kemudian bakal mulus, dan jerawat jadi jarang muncul. komedo juga jadi berkurang bgt. cocok lah di aku, soal harga emg agak mahal ya, tapi worth it bangeeet!",5
salah satu line dari paulas choice kesukaan saya. foam ini ringan dan tidak membuat kulit kering. minyak di muka juga terkontrol. saya suka wanginya dan hasil yang maksimal. tidak bisa lepas dari facial wash ini,5
"pas beli ini itu gara2 keracunan para beauty blogger yang bilang katanya sunscreen ini bagus, pas dipakai oiya ternyata bagus cepat menyerapnya dan ga bikin muka ku makin minyak kan . pokonya sukak banget deh &nbsp;&nbsp;",5
love it too much sama bb cream ini :) packingnya higienis karena ada pump nya cukup dikit dan pake nya juga di  tap-tap aja jadi kelihatan lebih natural klo kebanyakan atau gak pas shade nya bisa kayak pake topeng *hmm.. sekarang ak suka pakenya di blend sama cc etude yg silky. lebih pas rasanya untuk shade muka ku. jangan lupa harus double cleansing biar gak breakout,5
"inilah ujung dari pencarian tabir surya yang tepat buatku. jadi selama ini tabir surya\\\\/ sun protection yang aku pakai selalu bikin muka aku kayak kilang minyak, yang berujung pada komedo dan jerawi, serem banget khan.. padahal nggak mungkin muka kita dibiarin aja nggak pakai tabir surya, itu juga bahaya!&nbsp;  nah skin aqua yang uv moisturizer gel ini pas banget buat aku yang jenis mukanya combinasi( berminyaknya di t zone) sensitip (terutama kalau mengandung parfum), dan lagi gampang berjerawi. teksturnya kaya lotion gitu, tapi diacepet meresap dikulit dan nggak bikin oily. aku juga nggak pakai pelembab lagi, jadi skin care pagiku cuma pakai ini dan obat jerawi (kalo lagi ada jerawi). oiya, satu lagi, lumayan mencerahkan wajah (apa cuma persaanku ya). intinya, ini top",5
"harganya ramah di kantong, lip balm ini mampu melembabkan bibir namum lembab tak bertahan lama dan cepat hilang. ketika dipakai, bibir pun berminyak seperti habis makan gorengan. lipbalm ini wanginya sangat dan rasanya pun juga enak jadinya pengen dimakan gitu. lipbalm ini juga bagus sebelum pemakaian lipstik agar bibir tidak pecah-pecah. packagingnya lucu dan menarik.",5
"pertama kali liat beauty blender ini, heran koq sponge aja bisa mahal banget yah. penasaran, ikutan beli. terus ditaroh gitu aja, nggak dipakai-pakai lama,soalnya lg pake merk yg satu lagi. eh begitu dipakai, really fall in love with this egg sponge. flawless banget, apply foundation sangat mudah, rata banget tanpa spot. really worth it to buy again. very recommended !",5
